1520521644.0589566,52.98,-74.22,-997.31
1520521644.1650705,52.19,-70.86,-1019.84
1520521644.2718182,56.15,-72.75,-1001.04
1520521644.37878,60.55,-67.20,-988.40
1520521644.4849377,21.61,14.40,-1010.31
1520521644.5918348,18.80,13.00,-996.64
1520521644.697224,14.04,19.41,-1001.28
1520521644.8040054,-71.84,-28.02,-1017.27
1520521644.9110491,-69.40,-36.93,-1007.87
1520521645.0173354,-66.10,-37.84,-997.31
1520521645.1241257,-5.37,-114.99,-989.56
1520521645.230966,-1.10,-116.03,-993.77
1520521645.3378532,2.44,-112.73,-1002.14
1520521645.4432263,67.87,-49.13,-983.58
1520521645.549931,60.85,-35.28,-1000.98
1520521645.6562853,57.50,-23.25,-990.36
1520521645.762985,-31.31,7.75,-1002.38
1520521645.8692515,-38.76,10.01,-1002.44
1520521645.9760354,-45.72,15.01,-1007.08
1520521646.0819657,-51.70,-87.77,-1014.28
1520521646.1888278,-45.29,-93.32,-1014.77
1520521646.2952976,-33.51,-89.29,-1008.36
1520521646.40211,55.24,-75.68,-1002.50
1520521646.5088098,64.15,-69.03,-996.83
1520521646.6154923,70.37,-54.44,-992.80
1520521646.7209263,10.56,23.38,-990.54
1520521646.8271406,8.97,17.27,-983.89
1520521646.93382,-2.50,20.14,-999.33
1520521647.0405586,-15.50,18.80,-995.67
1520521647.147061,-61.04,-62.19,-1000.00
1520521647.2538562,-56.88,-78.00,-993.16
1520521647.3594766,-55.54,-82.76,-1000.12
1520521647.465785,42.79,-105.22,-996.64
1520521647.5727918,50.78,-97.66,-1000.79
1520521647.679097,54.08,-90.88,-997.38
1520521647.7856574,35.58,4.94,-1007.51
1520521647.8921719,20.63,11.23,-1003.91
1520521647.9986327,21.48,15.93,-986.39
1520521648.1048186,-70.68,-24.29,-1024.48
1520521648.2114909,-66.47,-34.06,-1002.87
1520521648.318097,-63.60,-45.65,-991.94
1520521648.4247293,2.38,-106.14,-1004.94
1520521648.5312545,19.04,-104.31,-992.86
1520521648.6379797,31.37,-106.99,-992.37
1520521648.743303,58.96,-9.46,-1002.69
1520521648.849997,55.66,1.40,-1002.08
1520521648.9563897,48.71,-0.67,-996.28
1520521649.0629222,26.92,8.36,-1006.23
1520521649.1695268,-63.72,-18.86,-1009.64
1520521649.276365,-70.43,-31.31,-1006.53
1520521649.3822212,-65.12,-45.41,-1000.85
1520521649.4889565,10.07,-110.53,-979.68
1520521649.5953598,20.14,-100.52,-997.80
1520521649.7022583,34.48,-106.69,-1006.71
1520521649.8089223,55.60,-8.42,-997.38
1520521649.9150805,53.53,2.26,-997.38
1520521650.0200317,39.37,4.39,-1006.23
1520521650.127127,23.13,13.31,-1011.60
1520521650.2338896,-65.86,-23.44,-1011.29
1520521650.340327,-71.17,-32.47,-1013.06
1520521650.4470408,-0.49,-115.78,-992.37
1520521650.5537775,8.12,-107.67,-997.99
1520521650.6601727,21.30,-102.42,-994.14
